Baustein,Nummer,Siegelstufe,Anforderungen
SYS.3.2.1 Allgemeine Smartphones und Tablets,SYS.3.2.1.A11 Verschlüsselung des Speichers ,S,Der nichtflüchtige Speicher des mobilen Geräts SOLLTE verschlüsselt werden. Schützenswerte Daten auf zusätzlich verwendeten Speichermedien wie SD-Karten SOLLTEN verschlüsselt werden.
SYS.3.2.1 Allgemeine Smartphones und Tablets,SYS.3.2.1.A12 Verwendung nicht personalisierter Gerätenamen ,S,Der Gerätename SOLLTE keine Hinweise auf die Institution oder den Benutzer enthalten.
SYS.3.2.1 Allgemeine Smartphones und Tablets,SYS.3.2.1.A13 Regelungen zum Screensharing und Casting ,S,"Es SOLLTE entschieden werden, ob Funktionen zur Übertragung von Bildschirminhalten, Audio oder Video (Screensharing oder Casting) eingesetzt werden sollen. Die Funktionen SOLLTEN organisatorisch oder technisch geregelt werden. Hierzu SOLLTE eine entsprechende Vereinbarung mit den Benutzern getroffen werden."
SYS.3.2.1 Allgemeine Smartphones und Tablets,SYS.3.2.1.A14 Schutz vor Phishing und Schadprogrammen im Browser ,S,Alle mobilen Endgeräte SOLLTEN vor Schadprogrammen geschützt werden. Im verwendeten Browser SOLLTE die Funktion „Safe Browsing“ bzw. die Funktion zur Warnung vor schädlichen Inhalten aktiviert werden.
SYS.3.2.1 Allgemeine Smartphones und Tablets,SYS.3.2.1.A15 Deaktivierung von Download-Boostern ,S,"Download-Booster, die Daten über die Server des Herstellers leiten, SOLLTEN deaktiviert werden."
SYS.3.2.1 Allgemeine Smartphones und Tablets,SYS.3.2.1.A16 Deaktivierung nicht benutzter Kommunikationsschnittstellen [Benutzer] ,S,"Kommunikationsschnittstellen SOLLTEN nur bei Bedarf und nur in geeigneten Umgebungen aktiviert werden. Wird ein MDM verwendet, SOLLTEN die Schnittstellen zentral über das MDM verwaltet werden."
SYS.3.2.1 Allgemeine Smartphones und Tablets,SYS.3.2.1.A17 Verwendung der SIM-Karten-PIN ,S,Die Nutzung der SIM-Karte der Institution SOLLTE durch eine PIN geschützt werden. Die Super-PIN/PUK SOLLTE nur im Rahmen der definierten Prozesse von den Verantwortlichen benutzt werden.
SYS.3.2.1 Allgemeine Smartphones und Tablets,SYS.3.2.1.A18 Verwendung biometrischer Authentisierung ,S,"Wenn biometrische Verfahren zur Authentisierung (z. B. ein Fingerabdrucksensor) genutzt werden sollen, SOLLTE geprüft werden, ob dadurch ein ähnlich hoher oder höherer Schutz im Vergleich zu einem Gerätepasswort erzielt werden kann. Im Zweifelsfall oder bei einem schlechteren Schutz SOLLTEN biometrische Verfahren NICHT genutzt werden. Die Benutzer SOLLTEN für die Fälschbarkeit von biometrischen Merkmalen sensibilisiert werden."
SYS.3.2.1 Allgemeine Smartphones und Tablets,SYS.3.2.1.A19 Verwendung von Sprachassistenten ,S,"Sprachassistenten SOLLTEN nur eingesetzt werden, wenn sie zwingend notwendig sind. Andernfalls SOLLTEN sie deaktiviert werden. Generell SOLLTE ein Sprachassistent nicht genutzt werden können, wenn das Gerät gesperrt ist."
SYS.3.2.1 Allgemeine Smartphones und Tablets,SYS.3.2.1.A20 Auswahl und Freigabe von Apps ,S,"Apps aus öffentlichen App-Stores SOLLTEN durch die Verantwortlichen geprüft und freigegeben werden. Dazu SOLLTE ein Freigabeprozess entwickelt werden, in dem auch geeignete Bewertungskriterien definiert sind. Alle freigegebenen Apps SOLLTEN intern in einem Standardkatalog veröffentlicht werden."
SYS.3.2.1 Allgemeine Smartphones und Tablets,"SYS.3.2.1.A21 Definition der erlaubten Informationen und Applikationen auf mobilen Geräten [Fachverantwortliche, Benutzer] ",S,"Die Institution SOLLTE festlegen, welche Informationen auf den mobilen Endgeräten verarbeitet werden dürfen. Grundlage für die Regelung SOLLTEN einerseits die Klassifikation der Institutionsdaten sein und andererseits die Bedingungen, unter denen die Daten auf den Geräten verarbeitet werden."
SYS.3.2.1 Allgemeine Smartphones und Tablets,SYS.3.2.1.A22 Einbindung mobiler Geräte in die interne Infrastruktur via VPN ,S,Mobile Endgeräte SOLLTEN nur mittels eines VPN in die Infrastruktur der Institution integriert werden. Hierzu SOLLTE ein geeignetes Verfahren ausgewählt und eingesetzt werden. Die Authentisierung SOLLTE bevorzugt durch Zertifikate statt durch den Einsatz klassischer Passwörter implementiert und betrieben werden.
SYS.3.2.1 Allgemeine Smartphones und Tablets,SYS.3.2.1.A28 Verwendung der Filteroption für Webseiten ,S,"Wird in der Institution bereits ein Reputationsdienst oder ein entsprechender Proxy-Server verwendet, SOLLTE dieser als globaler HTTP-Proxy für alle installierten Browser hinterlegt werden. Ist der Proxy nur im internen Netz erreichbar, SOLLTEN die Endgeräte über eine VPN-Verbindung wahlweise permanent oder basierend auf den verwendeten Apps geeignet eingebunden werden."
SYS.3.2.1 Allgemeine Smartphones und Tablets,SYS.3.2.1.A23 Zusätzliche Authentisierung für vertrauliche Anwendungen ,H,Alle Anwendungen mit vertraulichen Daten SOLLTEN durch einen zusätzlichen Mechanismus zur Authentisierung geschützt werden.
SYS.3.2.1 Allgemeine Smartphones und Tablets,SYS.3.2.1.A24 Einsatz einer geschlossenen Benutzergruppe ,H,"Das Passwort für den Zugangspunkt (Access Point Name, APN) einer geschlossenen Benutzergruppe SOLLTE komplex sein. Die Authentisierung SOLLTE das CHAP-Protokoll nutzen."
SYS.3.2.1 Allgemeine Smartphones und Tablets,SYS.3.2.1.A25 Nutzung von getrennten Arbeitsumgebungen ,H,"Ist es den Mitarbeitern erlaubt, dienstliche Geräte auch privat zu nutzen, SOLLTEN Lösungen für getrennte Arbeitsumgebungen auf dem Endgerät eingesetzt werden. Wenn möglich, SOLLTEN dafür nur zertifizierte Produkte (z. B. nach Common Criteria) beschafft werden. Dienstliche Daten SOLLTEN ausschließlich in der dienstlichen Umgebung verbleiben."
SYS.3.2.1 Allgemeine Smartphones und Tablets,SYS.3.2.1.A26 Nutzung von PIM-Containern ,H,"Informationen auf den mobilen Endgeräten SOLLTEN gekapselt werden, zum Beispiel in einem PIM-Container. Zusätzlich SOLLTEN die Daten durch eine separate Authentisierung und eine vom Betriebssystem unabhängige Daten- und Transportverschlüsselung abgesichert werden."
SYS.3.2.1 Allgemeine Smartphones und Tablets,SYS.3.2.1.A27 Einsatz besonders abgesicherter Endgeräte ,H,"Institutionen SOLLTEN abhängig vom Schutzbedarf besonders abgesicherte mobile Endgeräte einsetzen, die für die Verarbeitung von Informationen nach gesetzlichen Informationsschutz-Klassifizierungen zertifiziert sind."
SYS.3.2.1 Allgemeine Smartphones und Tablets,SYS.3.2.1.A29 Verwendung eines institutionsbezogenen APN ,H,"Es SOLLTE geprüft werden, ob ein institutionsbezogener Zugangspunkt zum Mobilfunknetz (APN, Access Point Name) zur Eingrenzung des erlaubten Geräte-Pools verwendet werden kann. Alle Geräte, die diesen APN verwenden, erhalten vom Mobilfunk-Provider einen mit der Institution abgestimmten IP-Adressbereich. Für die Authentisierung SOLLTE ein komplexes Passwort mit maximal 64 Stellen mit dem Mobilfunk-Provider vereinbart werden. Beim Einsatz eines institutionsbezogenen APN SOLLTE die Authentisierung auf Basis des Protokolls CHAP realisiert werden."
SYS.3.2.1 Allgemeine Smartphones und Tablets,SYS.3.2.1.A30 Einschränkung der App-Installation mittels Whitelist ,H,"Bei erhöhtem Schutzbedarf SOLLTEN die Benutzer der mobilen Endgeräte nur freigegebene und geprüfte Apps installieren dürfen. Wird ein MDM eingesetzt, SOLLTE es verhindern, dass andere Apps installiert werden oder alternativ unbefugt installierte Apps sofort wieder entfernen."
SYS.3.2.4 Android,SYS.3.2.4.A1 Auswahl von Android-basierten Geräten ,B,"Bei der Auswahl von Android-basierten Geräten MUSS sichergestellt sein, dass der Hersteller regelmäßig Sicherheitsupdates für dieses Gerät bereitstellt. Die Geräte MÜSSEN mit einer aktuellen Version von Android ausgeliefert werden oder unmittelbar auf diese aktualisiert werden können."
SYS.3.2.4 Android,SYS.3.2.4.A2 Deaktivieren der Entwickler-Optionen ,S,In allen Android-basierten Geräten SOLLTEN die Entwickleroptionen deaktiviert sein.
SYS.3.2.4 Android,SYS.3.2.4.A3 Einsatz des Multi-User- und Gäste-Modus ,S,"Es SOLLTE geregelt sein, ob der Multi-User- und Gäste-Modus verwendet werden darf oder eventuell sogar muss. Ein Benutzer auf dem Android-basierten Gerät SOLLTE einer natürlichen Person entsprechen."
SYS.3.2.4 Android,SYS.3.2.4.A4 Regelung und Konfiguration von Cloud-Print ,S,"Cloud-Print SOLLTE nur dann erlaubt sein, wenn sichergestellt ist, dass der Benutzer nur genehmigte Drucker auswählen kann."
SYS.3.2.4 Android,SYS.3.2.4.A5 Erweiterte Sicherheitseinstellungen ,S,Es SOLLTEN sich nur freigegebene Sicherheits-Apps als Geräteadministrator oder „Trust Agents“ eintragen lassen. Dies SOLLTE regelmäßig überprüft werden.
SYS.3.2.4 Android,SYS.3.2.4.A6 Einsatz eines Produkts zum Schutz vor Schadsoftware ,H,"Es SOLLTE auf Android-basierten Geräten eine Software zum Schutz vor Schadsoftware installiert sein. Die Software SOLLTE immer aktuell sein. Es SOLLTE eine Software eingesetzt werden, die in unabhängigen Tests als „sehr gut“ bewertet wurde."
SYS.3.2.4 Android,SYS.3.2.4.A7 Verwendung einer Firewall ,H,Auf Android-basierten Geräten SOLLTE eine Firewall installiert und aktiviert sein.
CON.3 Datensicherungskonzept,"CON.3.A1 Erhebung der Einflussfaktoren für Datensicherungen [Fachverantwortliche, IT-Betrieb] ",B,Der IT-Betrieb MUSS für jedes IT-System und darauf ausgeführten Anwendungen die Rahmenbedingungen für die Datensicherung erheben. Dazu MUSS der IT-Betrieb die Fachverantwortlichen für die Anwendungen und die Verantwortlichen für die jeweiligen IT-Systeme befragen. Der IT-Betrieb MUSS mindestens die nachfolgenden Rahmenbedingungen berücksichtigen: 
CON.3 Datensicherungskonzept,"CON.3.A2 Festlegung der Verfahrensweise für die Datensicherung [Fachverantwortliche, IT-Betrieb] ",B,"Der IT-Betrieb MUSS für jedes IT-System ein Verfahren festlegen, das definiert, welche Daten des IT-Systems wie gesichert werden. Dazu MÜSSEN Art, Häufigkeit und Zeitpunkte der Datensicherungen bestimmt werden. Dies MUSS wiederum auf Basis der erhobenen Einflussfaktoren und in Abstimmung mit den jeweiligen Fachverantwortlichen der Anwendungen geschehen. Auch MUSS definiert sein, welche Speichermedien benutzt werden und wie die Transport- und Aufbewahrungsmodalitäten ausgestaltet sein müssen."
CON.3 Datensicherungskonzept,CON.3.A3 ENTFALLEN ,B,Diese Anforderung ist entfallen.
CON.3 Datensicherungskonzept,CON.3.A4 Erstellung eines Minimaldatensicherungskonzeptes [IT-Betrieb] ,B,"Der IT-Betrieb MUSS ein Minimaldatensicherungskonzept auf Basis der festgelegten Verfahrensweise für die Datensicherung erstellen. Dieses MUSS festlegen, welche Anforderungen für die Datensicherung mindestens vom IT-Betrieb einzuhalten sind. Das Minimaldatensicherungskonzept MUSS mindestens eine kurze Beschreibung dazu enthalten, "
CON.3 Datensicherungskonzept,CON.3.A5 Regelmäßige Datensicherung [IT-Betrieb] ,B,"Der IT-Betrieb MUSS regelmäßige Datensicherungen gemäß dem (Minimal-)Datensicherungskonzept erstellen. Die erstellten Datensicherungen MÜSSEN in geeigneter Weise vor dem Zugriff Dritter geschützt werden. Es MUSS regelmäßig getestet werden, ob die Datensicherung wie gewünscht funktioniert, vor allem, ob gesicherte Daten problemlos und in angemessener Zeit zurückgespielt werden können."
CON.3 Datensicherungskonzept,"CON.3.A6 Entwicklung eines Datensicherungskonzepts [Fachverantwortliche, IT-Betrieb] ",S,Der IT-Betrieb SOLLTE ein Datensicherungskonzept auf Basis des Minimaldatenkonzepts erstellen. Dieses SOLLTE mindestens die nachfolgenden Punkte umfassen:
CON.3 Datensicherungskonzept,CON.3.A7 Beschaffung eines geeigneten Datensicherungssystems [Leiter IT] ,S,"Bevor ein Datensicherungssystem beschafft wird, SOLLTE der Leiter IT eine Anforderungsliste erstellen, nach der die am Markt erhältlichen Produkte bewertet werden. Die angeschafften Datensicherungssysteme SOLLTEN die Anforderungen des Datensicherungskonzepts und der gesamten Sicherheitskonzeption der Institution erfüllen."
CON.3 Datensicherungskonzept,CON.3.A8 ENTFALLEN ,S,Diese Anforderung ist entfallen.
CON.3 Datensicherungskonzept,"CON.3.A9 Voraussetzungen für die Online-Datensicherung [IT-Betrieb, Leiter IT] ",S,"Wenn für die Datensicherung ein Online-Speicher genutzt werden soll, SOLLTEN mindestens folgende Punkte geregelt werden: "
CON.3 Datensicherungskonzept,CON.3.A10 Verpflichtung der Mitarbeiter zur Datensicherung ,S,"Alle Mitarbeiter SOLLTEN über die Regelungen zur Datensicherung informiert sein. Auch SOLLTEN sie darüber informiert werden, welche Aufgaben sie bei der Erstellung von Datensicherungen haben. Die Mitarbeiter SOLLTEN dazu verpflichtet werden, Datensicherungen durchzuführen. "
CON.3 Datensicherungskonzept,CON.3.A11 Sicherungskopie der eingesetzten Software [IT-Betrieb] ,S,"Der IT-Betrieb SOLLTE Sicherungskopien von eingesetzten Softwareprogrammen anfertigen, sofern das rechtlich erlaubt und technisch möglich ist. Dabei SOLLTEN alle notwendigen Pakete und Informationen vorhanden sein, um die Software im Notfall wieder installieren zu können. Auch SOLLTEN die originalen Installationsquellen sowie die Lizenznummern an einem geeigneten Ort sicher aufbewahrt werden. "
CON.3 Datensicherungskonzept,CON.3.A12 Geeignete Aufbewahrung der Backup-Datenträger [IT-Betrieb] ,S,"Der IT-Betrieb SOLLTE die Backup-Datenträger geeignet aufbewahren, sodass diese vor unbefugtem Zugriff geschützt werden. Sie SOLLTEN räumlich getrennt von den gesicherten IT-Systemen aufbewahrt werden. Der Aufbewahrungsort SOLLTE so klimatisiert sein, dass die Datenträger entsprechend der zeitlichen Vorgaben des Datensicherungskonzepts aufbewahrt werden können."
CON.3 Datensicherungskonzept,CON.3.A13 Einsatz kryptografischer Verfahren bei der Datensicherung [IT-Betrieb] ,H,"Um die Vertraulichkeit und Integrität der gesicherten Daten zu gewährleisten, SOLLTE der IT-Betrieb alle Datensicherungen verschlüsseln. Es SOLLTE sichergestellt werden, dass sich die verschlüsselten Daten auch nach längerer Zeit wieder einspielen lassen. Verwendete kryptografische Schlüssel SOLLTEN mit einer getrennten Datensicherung geschützt werden."
OPS.1.1.6 Software-Tests und -Freigaben,OPS.1.1.6.A1 Planung der Software-Tests ,B,"Die Rahmenbedingungen für Software-Test MÜSSEN vor den Tests innerhalb der Institution entsprechend der Schutzbedarfe, Organisationseinheiten, technischen Möglichkeiten und Test-Umgebungen festlegt sein. Die Software-Tests MÜSSEN auf den Angaben des Pflichtenhefts basieren."
OPS.1.1.6 Software-Tests und -Freigaben,OPS.1.1.6.A2 Durchführung von funktionalen Software-Tests [Tester] ,B,"Funktionale Software-Tests MÜSSEN durchgeführt werden, um die ordnungsgemäße und vollständige Funktion der Software zu überprüfen. Die funktionalen Software-Tests MÜSSEN so durchgeführt werden, dass sie den Produktivbetrieb nicht beeinflussen."
OPS.1.1.6 Software-Tests und -Freigaben,OPS.1.1.6.A3 Auswertung der Testergebnisse [Tester] ,B,Die Ergebnisse der Software-Tests MÜSSEN ausgewertet werden. Es SOLLTE ein Soll-Ist-Vergleich mit definierten Vorgaben durchgeführt werden. Die Auswertung MUSS dokumentiert werden.
OPS.1.1.6 Software-Tests und -Freigaben,OPS.1.1.6.A4 Freigabe der Software [Fachverantwortliche] ,B,"Die fachliche Organisationseinheit MUSS die Software freigeben, sobald die Software-Tests erfolgreich durchgeführt wurden. Die Freigabe MUSS in Form einer Freigabeerklärung dokumentiert werden."
OPS.1.1.6 Software-Tests und -Freigaben,OPS.1.1.6.A5 Durchführung nicht-funktionaler Software-Tests [Tester] ,B,"Es MÜSSEN nicht-funktionale Tests durchgeführt werden. Insbesondere MÜSSEN sicherheitsspezifische Software-Tests durchgeführt werden, wenn die Anwendung sicherheitskritische Funktionen mitbringt. Die durchgeführten Testfälle, sowie die Testergebnisse, MÜSSEN dokumentiert werden."
OPS.1.1.6 Software-Tests und -Freigaben,"OPS.1.1.6.A6 Geordnete Einweisung der Software-Tester [IT-Betrieb, Fachverantwortliche] ",S,Ein Software-Tester SOLLTE über die durchzuführenden Testarten und die zu testenden Bereiche einer Software vom IT-Betrieb informiert werden. Darüber hinaus SOLLTE der Software-Tester über die Anwendungsfälle und mögliche weitere Anforderungen der Software informiert werden. 
OPS.1.1.6 Software-Tests und -Freigaben,"OPS.1.1.6.A7 Personalauswahl der Software-Tester [Personalabteilung, Leiter IT] ",S,"Bei der Auswahl der Software-Tester SOLLTEN gesonderte Auswahlkriterien berücksichtigt werden. Die Personen SOLLTEN die erforderliche berufliche Qualifikation haben. Es SOLLTEN außerdem ausreichende Kenntnisse der zu testenden Programmiersprache, der Entwicklungsumgebung und der einzusetzenden Testmethoden vorhanden sein. Darüber hinaus SOLLTE eine entsprechende Rollentrennung erfolgen, sodass Quellcode nicht ausschließlich von Testern überprüft wird, die an der Erstellung des Quellcodes beteiligt waren. "
OPS.1.1.6 Software-Tests und -Freigaben,OPS.1.1.6.A8 Fort- und Weiterbildung der Software-Tester [Leiter Personal] ,S,"Die Software-Tester SOLLTEN entsprechend dem Baustein ORP.3 Sensibilisierung und Schulung geschult werden. Es SOLLTEN Verfahren etabliert werden, mit denen die Software-Tester über Neuerungen informiert werden, die für ihr jeweiliges Aufgabenspektrum relevant sind."
OPS.1.1.6 Software-Tests und -Freigaben,"OPS.1.1.6.A9 Beschaffung von Test-Software [IT-Betrieb, Tester] ",S,"Die Test-Software SOLLTE nach einem Anforderungskatalog beschafft werden. Sie SOLLTE ebenfalls dem Test- und Freigabeprozess unterzogen werden. Es SOLLTE überprüft werden, ob die Hilfestellungs- und Supportleistungen des Softwareherstellers ausreichend sind. "
OPS.1.1.6 Software-Tests und -Freigaben,OPS.1.1.6.A10 Erstellung eines Abnahmeplans ,S,"In einem Abnahmeplan SOLLTEN die durchzuführenden Testarten, Testfälle und die erwarteten Ergebnisse dokumentiert sein. Außerdem SOLLTE der Abnahmeplan die Freigabekriterien beinhalten. Es SOLLTE eine Vorgehensweise für die Situation festgelegt werden, wenn eine Freigabe abgelehnt wird. "
OPS.1.1.6 Software-Tests und -Freigaben,"OPS.1.1.6.A11 Verwendung von anonymisierten oder pseudonymisierten Testdaten [Datenschutzbeauftragter, Tester] ",S,"Es SOLLTEN nur anonymisierte oder pseudonymisierte Testdaten für Software-Tests verwendet werden. Sofern die Produktivdaten personenbezogen sind, SOLLTEN Institutionen ausschließlich anonymisierte Testdaten verwenden. Wenn ein Personenbezug von den Testdaten abgeleitet werden könnte, SOLLTEN der Datenschutzbeauftragte und unter Umständen die Personalvertretung hinzugezogen werden."
OPS.1.1.6 Software-Tests und -Freigaben,OPS.1.1.6.A12 Durchführung von Regressionstests [Tester] ,S,"Wenn Software-Tests nach einer Änderung der Software durchgeführt werden sollen, SOLLTEN hierbei Regressionstests inkludiert werden. Regressionstests SOLLTEN vollständig durchgeführt werden. Werden Testfälle ausgelassen, SOLLTE dies begründet und dokumentiert werden. Die durchgeführten Testfälle und die Testergebnisse SOLLTEN dokumentiert werden."
OPS.1.1.6 Software-Tests und -Freigaben,OPS.1.1.6.A13 Trennung von Test- und Qualitätsmanagement-Umgebung von der Produktivumgebung [IT-Betrieb] ,S,"Software SOLLTE nur in einer hierfür vorgesehenen Test- und Qualitätsmanagement-Umgebung getestet werden. Die Test- und Qualitätsmanagement-Umgebungen SOLLTEN von der Produktivumgebung getrennt betrieben werden. Die in der Test- und Qualitätsmanagement-Umgebung verwendeten Architekturen und Mechanismen SOLLTEN dokumentiert werden. Die Test- und Qualitätsmanagement-Umgebung SOLLTE der Produktivumgebung angepasst sein. Es SOLLTEN Verfahren dokumentiert werden, wie mit der Test- und Qualitätsmanagement-Umgebung nach Abschluss des Software-Tests zu verfahren ist."
OPS.1.1.6 Software-Tests und -Freigaben,OPS.1.1.6.A14 Durchführung von Penetrationstests [Tester] ,H,Es SOLLTEN für Anwendungen beziehungsweise IT-Systeme mit erhöhtem Schutzbedarf Penetrationstests als Testmethode durchgeführt werden. Es SOLLTE ein Penetrationstest-Konzept erstellt werden. Im Penetrationstest-Konzept SOLLTEN neben den zu verwendenden Testmethoden auch die Erfolgskriterien dokumentiert werden.
DER.3.1 Audits und Revisionen,DER.3.1.A1 Definition von Verantwortlichkeiten [Institutionsleitung] ,B,"Die Institutionsleitung MUSS einen Mitarbeiter benennen, der dafür verantwortlich ist, Audits bzw. Revisionen zu planen und zu initiieren. Dabei MUSS die Institutionsleitung darauf achten, dass keine Interessenkonflikte entstehen. Der Verantwortliche MUSS sicherstellen, dass die Ergebnisse der Audits und Revisionen dazu verwendet werden, um die Sicherheitsmaßnahmen zu verbessern."
DER.3.1 Audits und Revisionen,DER.3.1.A2 Vorbereitung eines Audits oder einer Revision ,B,Vor einem Audit oder einer Revision MUSS die Institution den Prüfgegenstand und die Prüfungsziele festlegen. Die betroffenen Ansprechpartner MÜSSEN unterrichtet werden. Abhängig vom Untersuchungsgegenstand MUSS der ISB die Personalvertretung über das geplante Audit oder die geplante Revision informieren.
DER.3.1 Audits und Revisionen,DER.3.1.A3 Durchführung eines Audits [Auditteam] ,B,"Bei einem Audit MUSS das Auditteam prüfen, ob die Anforderungen aus Richtlinien, Normen, Standards und anderen relevanten Vorgaben erfüllt sind. Die geprüfte Institution MUSS die Anforderungen kennen."
DER.3.1 Audits und Revisionen,DER.3.1.A4 Durchführung einer Revision ,B,"Bei einer Revision MUSS das Revisionsteam prüfen, ob die Anforderungen vollständig, korrekt, angemessen und aktuell umgesetzt sind. Die Institution MUSS festgestellte Abweichungen, wenn möglich, sofort korrigieren. Die jeweiligen Revisionen MÜSSEN mit einer Änderungsverfolgung dokumentiert werden. "
DER.3.1 Audits und Revisionen,DER.3.1.A5 Integration in den Informationssicherheitsprozess ,S,"Die Institution SOLLTE eine Richtlinie zur internen ISMS-Auditierung und eine Richtlinie zur Lenkung von Korrekturmaßnahmen erstellen. Die Richtlinien SOLLTEN vorgeben, dass regelmäßige Audits und Revisionen ein Teil des Sicherheitsprozesses sind und durch diesen initiiert werden."
